Brnd_Name,Gnrc_Name,HCPCS_Cd,HCPCS_Desc,Year,Tot_Benes,Tot_Clms,Tot_Spndng,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Year_Value
CINVANTI,APREPITANT,J0185,"INJ., APREPITANT, 1 MG",2025 (Q1-Q4),39780.0,184106,43027719.93,1081.6420294,233.71166573,2025
CINVANTI,APREPITANT,J0185,"INJ., APREPITANT, 1 MG",2026 (Q1),16219.0,42275,9809039.82,604.78696714,232.0293275,2026
LEMTRADA,ALEMTUZUMAB,J0202,"INJECTION, ALEMTUZUMAB",2025 (Q1-Q4),23.0,69,1574969.94,68476.953913,22825.651304,2025
LAMZEDE,VELMANASE ALFA-TYCV,J0217,INJ VELMANASE ALFA-TYCV 1 MG,2025 (Q1-Q4),600.5,89,2544070.83,605.10741214,28585.065506,2025
LAMZEDE,VELMANASE ALFA-TYCV,J0217,INJ VELMANASE ALFA-TYCV 1 MG,2026 (Q1),600.5,33,903864.78,605.10741214,27389.841818,2026
NEXVIAZYME,AVALGLUCOSIDASE ALFA-NGPT,J0219,INJ AVAL ALFA-NQPT 4MG,2025 (Q1-Q4),107.0,1988,73888820.73,690549.72645,37167.414854,2025
NEXVIAZYME,AVALGLUCOSIDASE ALFA-NGPT,J0219,INJ AVAL ALFA-NQPT 4MG,2026 (Q1),101.0,481,18439848.57,182572.75812,38336.483514,2026
LUMIZYME,ALGLUCOSIDASE ALFA,J0221,LUMIZYME INJECTION,2025 (Q1-Q4),17.0,328,10236844.07,602167.29824,31209.890457,2025
LUMIZYME,ALGLUCOSIDASE ALFA,J0221,LUMIZYME INJECTION,2026 (Q1),14.0,68,2176855.86,155489.70429,32012.586176,2026
ONPATTRO,"PATISIRAN SODIUM,LIPID COMPLEX",J0222,"INJ., PATISIRAN, 0.1 MG",2025 (Q1-Q4),68.0,822,20874686.13,306980.67838,25394.995292,2025
ONPATTRO,"PATISIRAN SODIUM,LIPID COMPLEX",J0222,"INJ., PATISIRAN, 0.1 MG",2026 (Q1),46.0,157,4093397.38,88986.899565,26072.594777,2026
GIVLAARI,GIVOSIRAN SODIUM,J0223,INJ GIVOSIRAN 0.5 MG,2025 (Q1-Q4),53.0,453,21821123.73,411719.31566,48170.25106,2025
GIVLAARI,GIVOSIRAN SODIUM,J0223,INJ GIVOSIRAN 0.5 MG,2026 (Q1),38.0,105,4727788.18,124415.47842,45026.554095,2026
OXLUMO,LUMASIRAN SODIUM,J0224,"INJ. LUMASIRAN, 0.5 MG",2025 (Q1-Q4),600.5,34,3210379.09,605.10741214,94422.914412,2025
AMVUTTRA,VUTRISIRAN SODIUM,J0225,"INJ, VUTRISIRAN, 1 MG",2025 (Q1-Q4),2861.0,10483,772361215.12,269961.97662,73677.498342,2025
AMVUTTRA,VUTRISIRAN SODIUM,J0225,"INJ, VUTRISIRAN, 1 MG",2026 (Q1),2847.0,4551,347133215.16,121929.47494,76276.25031,2026
VEKLURY,REMDESIVIR,J0248,"INJ, REMDESIVIR, 1 MG",2025 (Q1-Q4),2422.0,4483,4930973.12,2035.9096284,1099.9270845,2025
VEKLURY,REMDESIVIR,J0248,"INJ, REMDESIVIR, 1 MG",2026 (Q1),323.0,604,659441.55,2041.6147059,1091.7906457,2026
ARALAST NP*,ALPHA-1-PROTEINASE INHIBITOR*,J0256,ALPHA 1 PROTEINASE INHIBITOR,2025 (Q1-Q4),1358.0,40778,135207054.6,99563.36863,3315.6862671,2025
ARALAST NP*,ALPHA-1-PROTEINASE INHIBITOR*,J0256,ALPHA 1 PROTEINASE INHIBITOR,2026 (Q1),1196.0,9390,31722275.97,26523.642115,3378.3041502,2026
GLASSIA,ALPHA-1-PROTEINASE INHIBITOR,J0257,GLASSIA INJECTION,2025 (Q1-Q4),279.0,7978,25425559.43,91131.037384,3186.9590662,2025
